CommonName,ZSampleID,SurveyID,SampleDate,Survey,Comments.x,Station,Temp,TopEC,BottomEC,Secchi,Turbidity,Comments.y,Station20mm,Dilution,ZooCode,MeterStart,MeterEnd,totCount,totcells,totCountall,atotal,volume,CPUE,LCDtax,Year
Acanthocyclops,508 1999-04-14,201,4/14/1999,1,NA,508,13.8,210,213,48,NA,NA,508,38,21,771291,781660,17,2,264,323,4.653395163,69.41168516,AVERNAL,1999
Annelid worms,508 1999-04-14,201,4/14/1999,1,NA,508,13.8,210,213,48,NA,NA,508,38,1,771291,781660,10,2,264,190,4.653395163,40.83040304,ANNELID,1999
Bosmina,508 1999-04-14,201,4/14/1999,1,NA,508,13.8,210,213,48,NA,NA,508,38,61,771291,781660,32,2,264,608,4.653395163,130.6572897,BOSMINA,1999
calanoid copepodid,508 1999-04-14,201,4/14/1999,1,NA,508,13.8,210,213,48,NA,NA,508,38,40,771291,781660,12,2,264,228,4.653395163,48.99648364,CALJUV,1999
Ceriodaphnia,508 1999-04-14,201,4/14/1999,1,NA,508,13.8,210,213,48,NA,NA,508,38,64,771291,781660,1,2,264,19,4.653395163,4.083040304,OTHCLADO,1999
copepod nauplii,508 1999-04-14,201,4/14/1999,1,NA,508,13.8,210,213,48,NA,NA,508,38,12,771291,781660,3,2,264,57,4.653395163,12.24912091,COPNAUP,1999
cyclopoid copepodid,508 1999-04-14,201,4/14/1999,1,NA,508,13.8,210,213,48,NA,NA,508,38,20,771291,781660,87,2,264,1653,4.653395163,355.2245064,CYCJUV,1999
Daphnia,508 1999-04-14,201,4/14/1999,1,NA,508,13.8,210,213,48,NA,NA,508,38,62,771291,781660,11,2,264,209,4.653395163,44.91344334,DAPHNIA,1999
Diaphanosoma,508 1999-04-14,201,4/14/1999,1,NA,508,13.8,210,213,48,NA,NA,508,38,63,771291,781660,1,2,264,19,4.653395163,4.083040304,DIAPHAN,1999
Diaptomus spp.,508 1999-04-14,201,4/14/1999,1,NA,508,13.8,210,213,48,NA,NA,508,38,32,771291,781660,1,2,264,19,4.653395163,4.083040304,DIAPTOM,1999
