"","LCDtax","Taxon","EMP","FRP","Veg","frac1","frac2"
"1","AVERNAL","Acanthocyclops vernalis","CVERNAL","Acanthocyclops","Acanthocyclops vernalis adult",0,1
"2","BOSMINA","Bosmina longirostris","BOSMINA","Bosmina","Bosmina not_spec",0.0418978277237309,0.958102172276269
"3","CALJUV","Other calanoid copepodids","OTHCALJUV","calanoid copepodid","Calanoid copepodid",0.0222273889028337,0.977772611097166
"4","CALJUV","Eurytemora affinis copepodids","EURYCOP","Eurytemora copepodid","Calanoid copepodid",0.0222273889028337,0.977772611097166
"5","CALJUV","Acartiella sinensis copepodid","ASINEJUV","Acartiella copepodid","Calanoid copepodid",0.0222273889028337,0.977772611097166
"6","CALJUV","Acartia spp. copepodids","ACARJUV","Acartia copepodid","Calanoid copepodid",0.0222273889028337,0.977772611097166
"7","CALJUV","Pseudodiaptomus spp. copepodids","PDIAPCOP","Pseudodiaptomus copepodid","Calanoid copepodid",0.0222273889028337,0.977772611097166
"8","CALJUV","Calanoid copepodids","CALJUV","calanoid copepodid","Calanoid copepodid",0.0222273889028337,0.977772611097166
"9","CALJUV","Diaptomidae copepodids, several genera","DIAPTJUV","Diaptomus copepodid","Calanoid copepodid",0.0222273889028337,0.977772611097166
"10","CALJUV","Tortanus spp. copepodids","TORTJUV","Tortanus copepodid","Calanoid copepodid",0.0222273889028337,0.977772611097166
"11","CALJUV","Sinocalanus copepodids","SINOCOP","Sinocalanus copepodid","Calanoid copepodid",0.0222273889028337,0.977772611097166
"12","COPNAUP","Copepod nauplii","OTHNAUP","Copepod Nauplii","Copepod nauplii",0.963608470547347,0.0363915294526528
"13","COPNAUP","Other copepod nauplii","OTHNAUP","Copepod Nauplii","Copepod nauplii",0.963608470547347,0.0363915294526528
"14","COPNAUP","Eurytemora affinis nauplii","EURYNAUP","Eurytemora nauplii","Copepod nauplii",0.963608470547347,0.0363915294526528
"15","COPNAUP","Sinocalanus doerrii nauplii","SINONAUP","Sinocalanus nauplii","Copepod nauplii",0.963608470547347,0.0363915294526528
"16","COPNAUP","Pseudodiaptomus spp.nauplii","PDPTNAUP","Pseudodiaptomus nauplii","Copepod nauplii",0.963608470547347,0.0363915294526528
"17","CYCJUV","Cyclopoid copepodids","CYCJUV","Cyclopoid Copepodid","Cyclopoid copepodid",0.715958464164465,0.284041535835535
"18","CYCJUV","Oithona spp.copepodids","OITHCOP","Oithona juvenile","Cyclopoid copepodid",0.715958464164465,0.284041535835535
"19","CYCJUV","Other cyclopoid copepodids","CYCLCOP","Cyclopoid Copepodid","Cyclopoid copepodid",0.715958464164465,0.284041535835535
"20","CYCJUV","Limnoithona spp. copepodids","LIMNOCOP","Limnoithona juvenile","Cyclopoid copepodid",0.715958464164465,0.284041535835535
"21","DAPHNIA","Daphnia spp.","DAPHNIA","Daphnia","Daphnia not_spec",0.00458360569068325,0.995416394309317
"22","DIAPHAN","Diaphanosoma spp.","DIAPHAN","Diaphanosoma","Diaphanosoma not_spec",0.102682912932215,0.897317087067785
"23","DIAPTOM","Diaptomidae","DIAPTOM","Diaptomus spp.","Diaptomus not_spec",0,1
"24","EURYTEM","Eurytemora affinis","EURYTEM","Eurytemora spp.","Eurytemora affinis adult",0.0384615384615385,0.961538461538462
"25","HARPACT","All life stages of harpactacoids","HARPACT","Harpacticoids","HARPACTICOIDS not_spec",0.473548807818415,0.526451192181585
"26","LIMNOSPP","Limnoithona sinensis","LSINEAD","Limnoithona sinensis","Limnoithona tetraspina not_spec",0.831624802152135,0.168375197847865
"27","LIMNOSPP","Limnoithona tetraspina","LTETRAD","Limnoithona tetraspina","Limnoithona tetraspina not_spec",0.831624802152135,0.168375197847865
"28","LIMNOSPP","Limnoithona spp.","LIMNO","Limnoithona spp.","Limnoithona tetraspina not_spec",0.831624802152135,0.168375197847865
"29","OSTRAC","Ostracods","OSTRAC","Ostracods","Ostracods not_spec",0.576202709408796,0.423797290591204
"30","OTHCALAD","Acartia spp.","ACARTIA","Acartia spp.","Calanoid adult",0.00484908153404824,0.995150918465952
"31","OTHCALAD","Other Calanoid adults","OTHCALAD","Calanoid Other","Calanoid adult",0.00484908153404824,0.995150918465952
"32","OTHCALAD","Acartiella sinensis","ACARTELA","Acartiella","Calanoid adult",0.00484908153404824,0.995150918465952
"33","OTHCALAD","Tortanus dextrilobatus","TDEXTAD","Tortanus dextrilobatus","Calanoid adult",0.00484908153404824,0.995150918465952
"34","OTHCALAD","Tortanus spp.","TORTANUS","Tortanus discaudatus","Calanoid adult",0.00484908153404824,0.995150918465952
